id,question,sparql_gold,assigned_error_type,sparql_wrong,error_types,raw_json
q81,To which countries does the Himalayan mountain system extend?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?uri },syntax,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?uri ,['syntax'],"{
  ""id"": ""q81"",
  ""question"": ""To which countries does the Himalayan mountain system extend?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?uri "",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?uri }}"",
  ""error_types"": [""syntax""]
}"
q82,Which actors were born in Germany?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> } UNION { ?uri <http://dbpedia.org/ontology/birthPlace> ?place . ?place <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> } },structural,SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/Actor> } UNION { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> }},['structural'],"{
  ""id"": ""q82"",
  ""question"": ""Which actors were born in Germany?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/Actor> } UNION { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> }}"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/Actor> {{ ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> }} UNION {{ ?uri <http://dbpedia.org/ontology/birthPlace> ?place . ?place <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> }} }}"",
  ""error_types"": [""structural""]
}"
q83,How much carbs does peanut butter have?,SELECT DISTINCT ?carbs WHERE { <http://dbpedia.org/resource/Peanut_butter> <http://dbpedia.org/property/carbs> ?carbs },semantic,SELECT DISTINCT ?carbs WHERE { <http://dbpedia.org/resource/Peanut_butter> <http://dbpedia.org/property/fat> ?carbs },['semantic'],"{
  ""id"": ""q83"",
  ""question"": ""How much carbs does peanut butter have?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?carbs WHERE { <http://dbpedia.org/resource/Peanut_butter> <http://dbpedia.org/property/fat> ?carbs }"",
  ""sparql_gold"": ""SELECT DISTINCT ?carbs WHERE {{ <http://dbpedia.org/resource/Peanut_butter> <http://dbpedia.org/property/carbs> ?carbs }}"",
  ""error_types"": [""semantic""]
}"
q84,Who produced the most films?,SELECT DISTINCT ?uri WHERE { ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/producer> ?uri . } ORDER BY DESC(COUNT(?film)) OFFSET 0 LIMIT 1,syntax,SELECT DISTINCT ?uri WHERE { ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/producer> ?uri . ORDER BY DESC(COUNT(?film)) OFFSET 0 LIMIT 1,['syntax'],"{
  ""id"": ""q84"",
  ""question"": ""Who produced the most films?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/producer> ?uri . ORDER BY DESC(COUNT(?film)) OFFSET 0 LIMIT 1"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/producer> ?uri . }} ORDER BY DESC(COUNT(?film)) OFFSET 0 LIMIT 1"",
  ""error_types"": [""syntax""]
}"
q85,How many employees does Google have?,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/numberOfEmployees> ?num },syntax,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/numberOfEmployees> ?num ,['syntax'],"{
  ""id"": ""q85"",
  ""question"": ""How many employees does Google have?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/numberOfEmployees> ?num "",
  ""sparql_gold"": ""SELECT DISTINCT ?num WHERE {{ <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/numberOfEmployees> ?num }}"",
  ""error_types"": [""syntax""]
}"
q86,Give me all actors who were born in Berlin.,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> },semantic,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> },['semantic'],"{
  ""id"": ""q86"",
  ""question"": ""Give me all actors who were born in Berlin."",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/Actor> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> }}"",
  ""error_types"": [""semantic""]
}"
q87,Who created Goofy?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/creator> ?uri },semantic,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/starring> ?uri },['semantic'],"{
  ""id"": ""q87"",
  ""question"": ""Who created Goofy?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/starring> ?uri }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/creator> ?uri }}"",
  ""error_types"": [""semantic""]
}"
q88,Which music albums contain the song Last Christmas?,"SELECT DISTINCT ?uri WHERE { ?single <http://dbpedia.org/ontology/album> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> ""Last Christmas""@en }",semantic,"SELECT DISTINCT ?uri WHERE { ?single <http://dbpedia.org/ontology/artist> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> ""Last Christmas""@en }",['semantic'],"{
  ""id"": ""q88"",
  ""question"": ""Which music albums contain the song Last Christmas?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { ?single <http://dbpedia.org/ontology/artist> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> \""Last Christmas\""@en }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?single <http://dbpedia.org/ontology/album> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> \""Last Christmas\""@en }}"",
  ""error_types"": [""semantic""]
}"
q89,When was Alberta admitted as province?,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Alberta> <http://dbpedia.org/property/admittancedate> ?date },syntax,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Alberta> <http://dbpedia.org/property/admittancedate> ?date ,['syntax'],"{
  ""id"": ""q89"",
  ""question"": ""When was Alberta admitted as province?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Alberta> <http://dbpedia.org/property/admittancedate> ?date "",
  ""sparql_gold"": ""SELECT DISTINCT ?date WHERE {{ <http://dbpedia.org/resource/Alberta> <http://dbpedia.org/property/admittancedate> ?date }}"",
  ""error_types"": [""syntax""]
}"
q90,How many missions does the Soyuz programme have?,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/property/programme> <http://dbpedia.org/resource/Soyuz_programme> },semantic,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE {{ ?uri <http://dbpedia.org/property/program> <http://dbpedia.org/resource/Soyuz_programme> }},['semantic'],"{
  ""id"": ""q90"",
  ""question"": ""How many missions does the Soyuz programme have?"",
  ""sparql_wrong"": ""SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE {{ ?uri <http://dbpedia.org/property/program> <http://dbpedia.org/resource/Soyuz_programme> }}"",
  ""sparql_gold"": ""SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE {{ ?uri <http://dbpedia.org/property/programme> <http://dbpedia.org/resource/Soyuz_programme> }}"",
  ""error_types"": [""semantic""]
}"
q91,Give me all the TV shows with Neil Patrick Harris.,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/TelevisionShow> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Neil_Patrick_Harris> },semantic,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Neil_Patrick_Harris> },['semantic'],"{
  ""id"": ""q91"",
  ""question"": ""Give me all the TV shows with Neil Patrick Harris."",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Neil_Patrick_Harris> }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/TelevisionShow> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Neil_Patrick_Harris> }}"",
  ""error_types"": [""semantic""]
}"
q92,When were the Hells Angels founded?,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Hells_Angels> <http://dbpedia.org/property/founded> ?date },syntax,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Hells_Angels> <http://dbpedia.org/property/founded> ?date ,['syntax'],"{
  ""id"": ""q92"",
  ""question"": ""When were the Hells Angels founded?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Hells_Angels> <http://dbpedia.org/property/founded> ?date "",
  ""sparql_gold"": ""SELECT DISTINCT ?date WHERE {{ <http://dbpedia.org/resource/Hells_Angels> <http://dbpedia.org/property/founded> ?date }}"",
  ""error_types"": [""syntax""]
}"
q93,What is the net income of Apple?,SELECT DISTINCT ?ni WHERE { <http://dbpedia.org/resource/Apple_Inc.> <http://dbpedia.org/ontology/netIncome> ?ni },semantic,SELECT DISTINCT ?ni WHERE {{ <http://dbpedia.org/resource/Apple_Inc.> <http://dbpedia.org/ontology/operatingIncome> ?ni }},['semantic'],"{
  ""id"": ""q93"",
  ""question"": ""What is the net income of Apple?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?ni WHERE {{ <http://dbpedia.org/resource/Apple_Inc.> <http://dbpedia.org/ontology/operatingIncome> ?ni }}"",
  ""sparql_gold"": ""SELECT DISTINCT ?ni WHERE {{ <http://dbpedia.org/resource/Apple_Inc.> <http://dbpedia.org/ontology/netIncome> ?ni }}"",
  ""error_types"": [""semantic""]
}"
q94,Give me all Swedish holidays.,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Holiday> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Sweden> },semantic,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Holiday> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Finland> },['semantic'],"{
  ""id"": ""q94"",
  ""question"": ""Give me all Swedish holidays."",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Holiday> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Finland> }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/Holiday> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Sweden> }}"",
  ""error_types"": [""semantic""]
}"
q95,In which city was the former Dutch queen Juliana buried?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/burialPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Settlement> },semantic,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/birthPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Settlement> },['semantic'],"{
  ""id"": ""q95"",
  ""question"": ""In which city was the former Dutch queen Juliana buried?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/birthPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Settlement> }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/burialPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Settlement> }}"",
  ""error_types"": [""semantic""]
}"
q96,List all the musicals with music by Leonard Bernstein.,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Musical> ; <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Leonard_Bernstein> },syntax,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Musical> ; <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Leonard_Bernstein> },['syntax'],"{
  ""id"": ""q96"",
  ""question"": ""List all the musicals with music by Leonard Bernstein."",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Musical> ; <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Leonard_Bernstein> }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/Musical> ; <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Leonard_Bernstein> }}"",
  ""error_types"": [""syntax""]
}"
q97,Give me all companies in the advertising industry.,"SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Company> { ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Advertising> } UNION { ?uri <http://dbpedia.org/ontology/industry> ?industry FILTER regex(?industry, ""advertising"", ""i"") } }",semantic,"SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE {{ ?uri a <http://dbpedia.org/ontology/Person> {{ ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Advertising> }} UNION {{ ?uri <http://dbpedia.org/ontology/industry> ?industry FILTER regex(?industry, ""advertising"", ""i"") }} }}",['semantic'],"{
  ""id"": ""q97"",
  ""question"": ""Give me all companies in the advertising industry."",
  ""sparql_wrong"": ""SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE {{ ?uri a <http://dbpedia.org/ontology/Person> {{ ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Advertising> }} UNION {{ ?uri <http://dbpedia.org/ontology/industry> ?industry FILTER regex(?industry, \""advertising\"", \""i\"") }} }}"",
  ""sparql_gold"": ""SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE {{ ?uri a <http://dbpedia.org/ontology/Company> {{ ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Advertising> }} UNION {{ ?uri <http://dbpedia.org/ontology/industry> ?industry FILTER regex(?industry, \""advertising\"", \""i\"") }} }}"",
  ""error_types"": [""semantic""]
}"
q98,What is the largest metropolitan area in Washington state?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Washington_(state)> <http://dbpedia.org/property/largestmetro> ?uri },syntax,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Washington_(state)> <http://dbpedia.org/property/largestmetro> ?uri ,['syntax'],"{
  ""id"": ""q98"",
  ""question"": ""What is the largest metropolitan area in Washington state?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Washington_(state)> <http://dbpedia.org/property/largestmetro> ?uri "",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ <http://dbpedia.org/resource/Washington_(state)> <http://dbpedia.org/property/largestmetro> ?uri }}"",
  ""error_types"": [""syntax""]
}"
q99,Who killed John Lennon?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/property/conviction> <http://dbpedia.org/resource/Death_of_John_Lennon> },semantic,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Place> ; <http://dbpedia.org/property/conviction> <http://dbpedia.org/resource/Death_of_John_Lennon> },['semantic'],"{
  ""id"": ""q99"",
  ""question"": ""Who killed John Lennon?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Place> ; <http://dbpedia.org/property/conviction> <http://dbpedia.org/resource/Death_of_John_Lennon> }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/property/conviction> <http://dbpedia.org/resource/Death_of_John_Lennon> }}"",
  ""error_types"": [""semantic""]
}"
q100,Which writers studied in Istanbul?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Writer> { ?uri <http://dbpedia.org/ontology/almaMater> ?x } UNION { ?uri <http://dbpedia.org/ontology/education> ?x } { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Istanbul> } UNION { ?x <http://dbpedia.org/property/city> <http://dbpedia.org/resource/Istanbul> } },semantic,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Writer> { { ?uri <http://dbpedia.org/ontology/birthPlace> ?x } UNION { ?uri <http://dbpedia.org/ontology/education> ?x } } { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Istanbul> } UNION { ?x <http://dbpedia.org/property/city> <http://dbpedia.org/resource/Istanbul> } },['semantic'],"{
  ""id"": ""q100"",
  ""question"": ""Which writers studied in Istanbul?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Writer> { { ?uri <http://dbpedia.org/ontology/birthPlace> ?x } UNION { ?uri <http://dbpedia.org/ontology/education> ?x } } { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Istanbul> } UNION { ?x <http://dbpedia.org/property/city> <http://dbpedia.org/resource/Istanbul> } }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/Writer> {{ ?uri <http://dbpedia.org/ontology/almaMater> ?x }} UNION {{ ?uri <http://dbpedia.org/ontology/education> ?x }} {{ ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Istanbul> }} UNION {{ ?x <http://dbpedia.org/property/city> <http://dbpedia.org/resource/Istanbul> }} }}"",
  ""error_types"": [""semantic""]
}"
q101,Give me all Australian metalcore bands.,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> ; <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } },syntax,SELECT DISTINCT ?uri WHERE { { ?uri a <http://dbpedia.org/ontology/Band> ; <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> {{ ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> }} UNION {{ ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> }} },['syntax'],"{
  ""id"": ""q101"",
  ""question"": ""Give me all Australian metalcore bands."",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { { ?uri a <http://dbpedia.org/ontology/Band> ; <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> {{ ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> }} UNION {{ ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> }} }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/Band> ; <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> {{ ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> }} UNION {{ ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> }} }}"",
  ""error_types"": [""syntax""]
}"
q102,Which countries adopted the Euro?,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Euro> } UNION { ?uri <http://dbpedia.org/property/currencyCode> ""EUR""@en } }",semantic,"SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/City> {{ ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Euro> }} UNION {{ ?uri <http://dbpedia.org/property/currencyCode> ""EUR""@en }} }}",['semantic'],"{
  ""id"": ""q102"",
  ""question"": ""Which countries adopted the Euro?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/City> {{ ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Euro> }} UNION {{ ?uri <http://dbpedia.org/property/currencyCode> \""EUR\""@en }} }}"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/ontology/Country> {{ ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Euro> }} UNION {{ ?uri <http://dbpedia.org/property/currencyCode> \""EUR\""@en }} }}"",
  ""error_types"": [""semantic""]
}"
q103,Give me all types of eating disorders.,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/class/yago/WikicatEatingDisorders> },semantic,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/class/yago/WikicatDietaryDisorders> },['semantic'],"{
  ""id"": ""q103"",
  ""question"": ""Give me all types of eating disorders."",
  ""sparql_wrong"": ""SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/class/yago/WikicatDietaryDisorders> }"",
  ""sparql_gold"": ""SELECT DISTINCT ?uri WHERE {{ ?uri a <http://dbpedia.org/class/yago/WikicatEatingDisorders> }}"",
  ""error_types"": [""semantic""]
}"
q104,Was Marc Chagall a jew?,"ASK WHERE { <http://dbpedia.org/resource/Marc_Chagall> <http://dbpedia.org/property/ethnicity> ""Jewish""@en }",semantic,"ASK WHERE { <http://dbpedia.org/resource/Marc_Chagall> <http://dbpedia.org/property/religion> ""Jewish""@en }",['semantic'],"{
  ""id"": ""q104"",
  ""question"": ""Was Marc Chagall a jew?"",
  ""sparql_wrong"": ""ASK WHERE { <http://dbpedia.org/resource/Marc_Chagall> <http://dbpedia.org/property/religion> \""Jewish\""@en }"",
  ""sparql_gold"": ""ASK WHERE {{ <http://dbpedia.org/resource/Marc_Chagall> <http://dbpedia.org/property/ethnicity> \""Jewish\""@en }}"",
  ""error_types"": [""semantic""]
}"
q105,What was Brazil's lowest rank in the FIFA World Ranking?,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Brazil_national_football_team> <http://dbpedia.org/property/fifaMin> ?n },semantic,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Brazil_national_football_team> <http://dbpedia.org/property/fifaMax> ?n },['semantic'],"{
  ""id"": ""q105"",
  ""question"": ""What was Brazil's lowest rank in the FIFA World Ranking?"",
  ""sparql_wrong"": ""SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Brazil_national_football_team> <http://dbpedia.org/property/fifaMax> ?n }"",
  ""sparql_gold"": ""SELECT DISTINCT ?n WHERE {{ <http://dbpedia.org/resource/Brazil_national_football_team> <http://dbpedia.org/property/fifaMin> ?n }}"",
  ""error_types"": [""semantic""]
}"
q106,How many films did Leonardo DiCaprio star in?,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Leonardo_DiCaprio> },semantic,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Leonardo_DiCaprio> } },['semantic'],"{
  ""id"": ""q106"",
  ""question"": ""How many films did Leonardo DiCaprio star in?"",
  ""sparql_wrong"": ""SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Leonardo_DiCaprio> } }"",
  ""sparql_gold"": ""SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE {{ ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Leonardo_DiCaprio> }}"",
  ""error_types"": [""semantic""]
}"
q107,Was Margaret Thatcher a chemist?,ASK WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Chemist> },semantic,ASK WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Chemist> },['semantic'],"{
  ""id"": ""q107"",
  ""question"": ""Was Margaret Thatcher a chemist?"",
  ""sparql_wrong"": ""ASK WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Chemist> }"",
  ""sparql_gold"": ""ASK WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Chemist> }"",
  ""error_types"": [""semantic""]
}"
